Ingredient (Normalized),Brand/Supplier,DC Item #,Supplier #,Distributor,Pkg Type,Qty/Pkg,Unit,Cost,Cost/Unit,Priority,Product Line,Lead Time,Shelf Life,MOQ,Terms,Notes
Liquid Eggs,Crystal Lake,110013,1100037,St Charles Trading Co,BIB,40,lbs,27.2,0.68,High,Kroger/Walmart,3-4 days,21 days,Pallet,$10K Net 30,$1.63 / lb Delivered to your facility
Liquid Eggs,Newburg Egg,110014,WE-2120,Newburg Egg,BIB,30,lbs,29.4,0.98,High,Kroger/Walmart,1 wk,,Pallet,,
Liquid Eggs,Rembrandt Foods,110014.2,0901R,Badger Murphy,BIB,40,lbs,44,1.1,High,Kroger/Walmart,1 wk,,N/A,Net 30,50 boxes per pallet.  12 wks shelf life.
"Butter, Unsalted",Brand ?  80%,111011,,St Charles Trading Co,Box,50,lbs,92,1.84,Low,Everyday Baked Goods,,,,$10K Net 30,
Flour,Ardent Mills - RTE Cake Flour,111001,4100277,St Charles Trading Co,Bags,50,lbs,27.65,0.553,High,Kroger/Walmart,1-2 days,365 days,FTL,$10K Net 30,50 bags per pallet - RTE Heat Treated Cake Flour
Flour,Gold Medal - Pureasnow,111002,,St Charles Trading Co,Bags,50,lbs,17.5,0.35,Low,Everyday Baked Goods,,,,,
Flour,Mennel Milling - RTE,111006,4100290,St Charles Trading Co,Bags,50,lbs,25,0.5,High,Kroger/Walmart,6-8 wks,365 days,FTL,$10K Net 30,850 Bags/ TL    50 bags/pallet    17 pallet / TL
Flour,Siemer - RTE,111007,,St Charles Trading Co,Bags,50,lbs,27.5,0.55,High,Kroger/Walmart,3-4 wks,365 days,FTL,$10K Net 30,
Flour,General Mills All-purpose - H & R,111010,,St Charles Trading Co,Bags,50,lbs,17,0.34,Low,Everyday Baked Goods,,365 days,,$10K Net 30,
Margarine Trans Free,Bunge - 504,111005,990475,Dawn Foods,Box,50,lbs,56.11,1.1222,High,Kroger/Walmart,2 wks,,N/A,Net 30,"Lead times, we ask for about 2 weeks for a pallet or more. No MOQ- just hit order min of $740 total."
Margarine Trans Free,Bunge - 500,111009,1060,Badger Murphy,Box,50,lbs,57.5,1.15,High,Kroger/Walmart,1 wk,,N/A,Net 30,
Margarine Trans Free,Bunge - 578 - DF,111004,3091432,Dawn Foods,Box,50,lbs,50,1,High,Kroger/Walmart,2-3 wks,,N/A,Net 30,$56/cube for MOQ of 10 pallets (360 units total). ---36cs / pallet
Margarine Trans Free,Bunge - 578 - SC,111008,Inactive,St Charles Trading Co,Box,50,lbs,50,1,High,Kroger/Walmart,,,,$10K Net 30,"50# cubes/36 per pallet - 20,000# MOQ - FOB Channahon, IL"
Vanilla Blend,Molina Vanilla,112003,M010EX,Market 5201,Case,33.33,lbs,52.38,1.571557156,High,Kroger/Walmart,2 wks,,HTL,,"48 Boxes / Pallet  ---  1,152 cases (24 pallets)  3yr Shelf Life"
Baking Soda,Natural Soda,113014,3000102,St Charles Trading Co,Bags,50,lbs,20.5,0.41,High,Kroger/Walmart,1-2 days,365 days,1 bag,$10K Net 30,"FOB McCook, IL"
Baking Soda,Arm and Hammer,113015,,St Charles Trading Co,Bags,50,lbs,20.5,0.41,High,Kroger/Walmart,1-2 days,365 days,1 bag,$10K Net 30,
Table Salt,Morton,113028,3100042,St Charles Trading Co,Bags,50,lbs,11.75,0.235,High,Kroger/Walmart,1-2 days,365 days,1 bag,$10K Net 30,"FOB McCook, IL"
White Chocolate Chips 1000ct,Barry Callebaut,116047,2449777,Dawn Foods,Box,22,lbs,59,2.681818182,High,Walmart,2 wks,,N/A,Net 30,NOT REAL CHOCOLATE
White Chocolate Chips 1000ct,Cacao - WCC1,116050,,National Cortina,Box,50,lbs,165.123,3.30246,High,Walmart,,,,,
White Chocolate Chips 1000ct,IRCA - WCC1 30-lbs,116060,01981527,IRCA,Box,30,lbs,100.8,3.36,High,Walmart,4-6 wks,365 days,,,
White Chocolate Chips 1000ct,IRCA - WCC1 50-lbs,116055,01982035,IRCA,Box,50,lbs,168,3.36,3.2,Walmart,4-6 wks,365 days,,,
White Chocolate Chips 1000ct,Bachemy - WCC1,116068,,Barchemy,Box,25,lbs,82,3.28,,,,,,,
White Chocolate Chips 4000ct,Barry Callebaut,116048,CHW-DR-2010602-036,Chris's Cookies,Box,30,lbs,178,5.933333333,High,Kroger,,,,,
White Chocolate Chips 4000ct,,,,,Box,50,lbs,,,High,Kroger,,,,,
White Chocolate Chips 4000ct,Cacao - WCC4,116051,1082844,National Cortina,Box,50,lbs,240.192,4.80384,High,Kroger,,,,,40 Cases / Pallet
White Chocolate Chips 4000ct,IRCA - WCC4,116061,01981609,IRCA,Box,30,lbs,100.8,3.36,High,Kroger,4-6 wks,365 days,,,
White Chocolate Chips 4000ct,Bachemy - WCC4,116069,,Barchemy,Box,25,lbs,,,,,,,,,
Semi-Sweet Chocolate Chips 1000ct,Bakery Essentials - SSC1,116057,3048658,Dawn Foods,Box,25,lbs,124,4.96,High,Walmart,2 wks,,N/A,Net 30,"Lead times, we ask for about 2 weeks for a pallet or more. No MOQ- just hit order min of $740 total."
Semi-Sweet Chocolate Chips 1000ct,Cacao - SSC1,116066,CCSS43-1M-CH-KP,National Cortina,Box,50,lbs,162.5,3.25,High,Walmart,,,,,
Semi-Sweet Chocolate Chips 1000ct,IRCA - SSC1,116062,1981792,IRCA,Box,30,lbs,97.5,3.25,High,Walmart,4-6 wks,365 days,,,
Semi-Sweet Chocolate Chips 1000ct,IRCA - SSC1,116067,1981794,IRCA,Box,50,lbs,162.5,3.25,High,Walmart,4-6 wks,365 days,,,
Semi-Sweet Chocolate Chips 1000ct,Bachemy - SSC1,116059,,Barchemy,Box,25,lbs,83,3.32,High,Walmart,,,,,
Peanut Butter Chips 1000ct,Hershey Reeses's 1k,116065,P335-250,TR Toppers,Box,25,lbs,107.97,4.3623,High,Walmart,,,,,Original Cost: $109.72
Peanut Butter Chips 4000ct,Hershey Reeses's 4k,116063,P330-250,TR Toppers,Box,25,lbs,116.7,4.5369,High,Walmart,,,,,Original Cost: $117.45 ~ 4.7115
Peanut Butter Chips 4000ct,Barchemy - PBC4,116049,ORAC23010501S,Barchemy,Box,25,lbs,61,2.4835,High,Walmart,,,,,"MOQ 21k (10 pallets)  -  84 case/ pallets  -  2,100-lbs/pallet    Ryan Walsh ~ Abe Froeman of transportation. Use price of $1250 (temperature controlled) for deliveries from Barchemy to Assemblers."
Hazelnut,IRCA,,,IRCA,Pail,22.0462,lbs,89.2871,4.049999546,High,Everyday product,,,,,"FOB Duluth, GA"
Strawberry Jam,Smucker's - 51500345573,116052,,St Charles Trading Co,Case,42,lbs,133.7,3.183333333,Low,Everyday product,,540 days,,$10K Net 30,Pulling from DOT?
Grape Jelly,Smucker's,116053,2100332,St Charles Trading Co,Case,42,lbs,121.8,2.9,High,Walmart,2-3 wks,540 days,9 Pallets,$10K Net 30,Pulling from DOT ->   MOQ 15k-lbs (360 cases) -----40 cases per pallet---Need 6 pallets
Grape Jelly,Smucker's,,51500727089,Smucker's,Case,42,lbs,108.48,2.582857143,High,Walmart,,,,,
Fudge Filling,I. Rice & Co. - Premium,116056,,St Charles Trading Co,Case,60,lbs,151.2,2.52,High,Walmart,,,,$10K Net 30,
Fudge Filling,I. Rice & Co. - Sundae Supreme,116058,,St Charles Trading Co,Case,47.625,lbs,94.2975,1.98,High,Walmart,,,,$10K Net 30,
Fudge Filling,Sokol (Solina),116064,46-01-3575-AG,Solina,Pail,50,lbs,92,1.84,High,Walmart,4-6 wks,180 days,825 pails,,36 Pails/pallet -- Net Wt 1800-lbs -- Gross Wt 1908-lbs --756 pails / FTL -- $0.04/lb is for shipping.
Fudge Filling,,,,IRCA,,,,,,High,Walmart,,,,,
Marshmellow Fluff - RTU,Sweet Solutions,,900000,IRCA,Pail,30,lbs,76.8,2.56,High,Walmart,6-8wks,,Truckload,,
Marshmellow Fluff,Sweet Solutions,,900001,IRCA,Pail,30,lbs,76.8,2.56,High,Walmart,,,,,
Peanut Butter Spread,Fisher,116054,2500103 / 2300103,St Charles Trading Co,Pail,35,lbs,71.75,2.05,High,Walmart,4 wks,365 days,Pallet,$10K Net 30,"5,040 lbs (4 pallets MOQ) - 36 / pallet"
